id,college,type,students,amount,x,fill,stroke
1,University of Georgia,Research College,107848,1258281448,192,#990000,#000000
2,Georgia Institute of Technology,Research College,35327,364221164,192,#957b33,#143685
3,Georgia State University,Research College,60856,536989789,192,#ffffff,#005eab
4,Valdosta State University,Regional University,34863,209941990,384,#960816,#DBC39E
5,Georgia Southern University,Regional University,53728,323547253,384,#2235C7,#C7A622
6,Kennesaw State University,State University,49367,314197485,576,#FFCC00,#000000
7,Georgia Perimeter College,State College,45617,95796441,768,#A81818,#E3E3E3
